Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
169,Juno,2007,1120,12,https://letterboxd.com/film/juno/
170,The King's Speech,2010,1120,12,https://letterboxd.com/film/the-kings-speech/
171,Star Wars: Episode VII - The Force Awakens,2015,1120,12,https://letterboxd.com/film/star-wars-episode-vii-the-force-awakens/
172,Chef,2014,1119,12,https://letterboxd.com/film/chef/
173,Kung Fu Panda 2,2011,1119,12,https://letterboxd.com/film/kung-fu-panda-2/
174,Spotlight,2015,1119,12,https://letterboxd.com/film/spotlight/
175,The Wizard of Oz,1939,1119,12,https://letterboxd.com/film/the-wizard-of-oz-1939/
176,American Sniper,2014,1117,12,https://letterboxd.com/film/american-sniper/
177,Beauty and the Beast,1991,1117,12,https://letterboxd.com/film/beauty-and-the-beast-1991/
178,The Secret Life of Walter Mitty,2013,1116,12,https://letterboxd.com/film/the-secret-life-of-walter-mitty-2013/
179,Avatar: The Way of Water,2022,1116,12,https://letterboxd.com/film/avatar-the-way-of-water/
180,Willy Wonka & the Chocolate Factory,1971,1114,12,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/
181,Star Wars: Episode III - Revenge of the Sith,2005,1114,12,https://letterboxd.com/film/star-wars-episode-iii-revenge-of-the-sith/
182,Megamind,2010,1111,12,https://letterboxd.com/film/megamind/
183,Nimona,2023,1110,12,https://letterboxd.com/film/nimona-2023/
184,Deadpool 2,2018,1110,12,https://letterboxd.com/film/deadpool-2/
185,Stand and Deliver,1988,1109,12,https://letterboxd.com/film/stand-and-deliver/
186,Guardians of the Galaxy,2014,1109,12,https://letterboxd.com/film/guardians-of-the-galaxy/
187,Airplane!,1980,1109,12,https://letterboxd.com/film/airplane/
188,Guardians of the Galaxy: Volume 2,2017,1107,12,https://letterboxd.com/film/guardians-of-the-galaxy-volume-2/
189,Friday the 13th,1980,1106,12,https://letterboxd.com/film/friday-the-13th/
190,Back to the Future Part III,1990,1106,12,https://letterboxd.com/film/back-to-the-future-part-iii/
191,WarGames,1983,1103,12,https://letterboxd.com/film/wargames/
192,Finding Nemo,2003,1103,12,https://letterboxd.com/film/finding-nemo/
193,Rocky,1976,1102,12,https://letterboxd.com/film/rocky/
194,Elemental,2023,1102,12,https://letterboxd.com/film/elemental-2023/
195,The Lego Batman Movie,2017,1101,12,https://letterboxd.com/film/the-lego-batman-movie/
196,The Super Mario Bros. Movie,2023,1101,12,https://letterboxd.com/film/the-super-mario-bros-movie/
197,Harry Potter and the Prisoner of Azkaban,2004,1101,12,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
198,The Hunger Games,2012,1101,12,https://letterboxd.com/film/the-hunger-games/
199,The Devil Wears Prada,2006,1100,12,https://letterboxd.com/film/the-devil-wears-prada/
200,Wreck-It Ralph,2012,1100,12,https://letterboxd.com/film/wreck-it-ralph/
201,The Emperor's New Groove,2000,1098,12,https://letterboxd.com/film/the-emperors-new-groove/
202,Civil War,2024,1097,12,https://letterboxd.com/film/civil-war-2024/
203,Bridge of Spies,2015,1095,12,https://letterboxd.com/film/bridge-of-spies/
204,Men in Black,1997,1094,12,https://letterboxd.com/film/men-in-black/
205,Robot Dreams,2023,1092,12,https://letterboxd.com/film/robot-dreams/
206,The Hunger Games: Catching Fire,2013,1092,12,https://letterboxd.com/film/the-hunger-games-catching-fire/
207,Monsters University,2013,1090,12,https://letterboxd.com/film/monsters-university/
208,Gifted,2017,1090,12,https://letterboxd.com/film/gifted-2017/
209,Up,2009,1089,12,https://letterboxd.com/film/up/
210,The Breakfast Club,1985,1089,12,https://letterboxd.com/film/the-breakfast-club/
211,Spider-Man: Homecoming,2017,1088,12,https://letterboxd.com/film/spider-man-homecoming/
212,Inside Out 2,2024,1087,12,https://letterboxd.com/film/inside-out-2-2024/
213,The Princess and the Frog,2009,1086,12,https://letterboxd.com/film/the-princess-and-the-frog/
214,The Avengers,2012,1084,12,https://letterboxd.com/film/the-avengers-2012/
215,Chicago,2002,1084,12,https://letterboxd.com/film/chicago/
216,Casino Royale,2006,1083,12,https://letterboxd.com/film/casino-royale-2006/
217,Black Panther,2018,1081,12,https://letterboxd.com/film/black-panther/
218,Batman,1989,1079,12,https://letterboxd.com/film/batman-1989/
219,Shaun of the Dead,2004,1078,12,https://letterboxd.com/film/shaun-of-the-dead/
220,Kung Fu Hustle,2004,1078,12,https://letterboxd.com/film/kung-fu-hustle/
221,The Tree of Life,2011,1075,12,https://letterboxd.com/film/the-tree-of-life-2011/
222,Big Hero 6,2014,1073,12,https://letterboxd.com/film/big-hero-6/
223,Tangled,2010,1073,12,https://letterboxd.com/film/tangled-2010/
224,The Founder,2016,1070,12,https://letterboxd.com/film/the-founder/
225,Doctor Strange,2016,1069,12,https://letterboxd.com/film/doctor-strange/
226,X-Men: First Class,2011,1069,12,https://letterboxd.com/film/x-men-first-class/
227,X-Men: Days of Future Past,2014,1068,12,https://letterboxd.com/film/x-men-days-of-future-past/
228,How to Train Your Dragon,2025,1065,12,https://letterboxd.com/film/how-to-train-your-dragon/
229,Little Shop of Horrors,1986,1064,12,https://letterboxd.com/film/little-shop-of-horrors/
230,The Hobbit: An Unexpected Journey,2012,1063,12,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
231,Anchorman: The Legend of Ron Burgundy,2004,1062,12,https://letterboxd.com/film/anchorman-the-legend-of-ron-burgundy/
232,Free Guy,2021,1062,12,https://letterboxd.com/film/free-guy/
233,Tarzan,1999,1061,12,https://letterboxd.com/film/tarzan/
234,Meet the Robinsons,2007,1060,13,https://letterboxd.com/film/meet-the-robinsons/
235,Indiana Jones and the Temple of Doom,1984,1060,12,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
236,Frozen,2013,1058,12,https://letterboxd.com/film/frozen-2013/
237,Harry Potter and the Order of the Phoenix,2007,1058,12,https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/
238,Caddyshack,1980,1056,12,https://letterboxd.com/film/caddyshack/
239,Luca,2021,1054,12,https://letterboxd.com/film/luca-2021/
240,Harry Potter and the Goblet of Fire,2005,1053,12,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/
241,Atlantis: The Lost Empire,2001,1053,12,https://letterboxd.com/film/atlantis-the-lost-empire/
242,Final Destination,2000,1052,12,https://letterboxd.com/film/final-destination/
243,Avatar,2009,1051,12,https://letterboxd.com/film/avatar/
244,Wonder Woman,2017,1049,12,https://letterboxd.com/film/wonder-woman-2017/
245,Fried Green Tomatoes,1991,1049,12,https://letterboxd.com/film/fried-green-tomatoes/
246,A Minecraft Movie,2025,1047,12,https://letterboxd.com/film/a-minecraft-movie/
247,Rango,2011,1047,12,https://letterboxd.com/film/rango/
248,Shrek Forever After,2010,1045,12,https://letterboxd.com/film/shrek-forever-after/
249,Final Destination 2,2003,1043,12,https://letterboxd.com/film/final-destination-2/
250,Ant-Man,2015,1043,12,https://letterboxd.com/film/ant-man/
251,Watchmen,2009,1042,12,https://letterboxd.com/film/watchmen/
252,The Searchers,1956,1041,12,https://letterboxd.com/film/the-searchers/
